poverty_perc,median_household_income,education_less_than_high_school_percent,percent_high_blood_pressure,percent_coronary_heart_disease,percent_stroke,percent_high_cholesterol,percent_inactive,percent_smoking,number_of_hospitals,number_of_primary_care_physicians,percent_no_heath_insurance,urban_rural_status
15.1,0.49375316404272473,13.4,34.1,5.9,3.1,31.2,21.5,18.5,0.0,0.0,23.3,0.0
8.1,0.5750026562333986,8.2,30.3,4.6,2.3,30.3,20.0,16.7,0.0,0.1296928327645051,17.7,0.0
8.3,0.5312529296691896,6.0,28.8,4.9,2.5,29.4,17.9,15.7,0.05194805194805195,0.061433447098976114,11.1,
25.3,0.32500421872363294,16.5,36.2,8.1,5.1,28.7,22.0,34.0,0.012987012987012988,0.06484641638225257,16.8,0.0
10.7,0.5437528515446779,6.2,33.6,7.5,3.7,32.3,20.9,17.8,0.0,0.0,15.1,0.0
6.4,0.5000031249804688,2.3,30.9,5.7,2.7,30.9,16.7,17.4,0.0,0.0,11.5,0.0
18.7,0.45000343747851573,13.5,35.1,7.7,4.5,29.3,22.6,28.4,0.0,0.04778156996587031,15.5,0.0
7.2,0.4812532421672365,5.5,28.0,4.7,2.3,27.5,20.4,15.7,0.025974025974025976,0.07167235494880547,11.3,
9.6,0.6562521484240724,2.0,36.7,8.2,3.8,34.5,16.8,17.1,0.0,0.04778156996587031,12.6,0.0
12.7,0.3500040624746095,6.0,40.9,9.7,4.7,35.8,19.8,20.5,0.0,0.0,20.0,0.0
8.1,0.5562527734201662,3.8,29.7,5.5,2.6,31.3,14.1,14.8,0.012987012987012988,0.061433447098976114,11.4,0.0
10.6,0.4250035937275392,7.0,35.9,7.4,3.4,34.0,20.4,18.5,0.03896103896103896,0.07849829351535836,13.8,0.0
8.3,0.4812532421672365,6.1,33.7,6.5,3.1,31.4,19.9,16.8,0.012987012987012988,0.06484641638225257,13.5,0.0
7.5,0.45000343747851573,10.4,28.9,5.1,2.5,30.0,23.7,16.4,0.012987012987012988,0.061433447098976114,18.2,0.0
